id,name,code,barcode,producerid
36923,Biolage Strength Recovery Набор (Шампунь 250мл + Кондиционер 200мл),biolage_strength_recovery_nabor_shampun_250ml_kondicioner_200ml__9351060607,4640193133312,10427
19911,Крем Magistrale 150мл,krem_magistrale_150ml_0391060696,3474636382514,10419
15336,Total Results Color Obsessed Brass Off Маска холодный блонд 200 мл,total_results_color_obsessed_brass_off_maska_хolodnyj_blond_200_ml_0391068660,884486320216,10427
18091,Majicontrast Крем-краска для волос Красный 50мл,majicontrast_krem_kraska_dlya_volos_krasnyj_50ml_0391064601,3474634003879,10437
18491,Socolor Cult Perm Сладкая Мята 90 мл,socolor_cult_perm_sladkaya_myata_90_ml_0391068043,884486386540,10427
36267,Biolage Hydrasource текстурирующий Лосьон-термозащита 150мл,biolage_hydrasource_teksturiruyushhij_loson_termozashhita_150ml_9351060552,3474637173678,12826
22157,Ампулы от выпадения волос Genesis 10х6мл,ampuly_ot_vypadeniya_volos_genesis_10х6ml_0391060935,3474636857999,10419
34930,Serie Expert Curl Expression Крем-гель активатор завитка 250мл,serie_expert_curl_expression_krem_gel_aktivator_zavitka_250ml_0391069637,3474637069155,10437
34991,Inoa Краска для волос без аммиака 10.12 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_10_12_60_gr_0391069674,3474637130732,10437
28580,Tecni.art 19 Fix Anti-Frizz Pure Спрей сильной фиксации 400 мл,tecni_art_19_fix_anti_frizz_pure_sprej_silnoj_fiksacii_400_ml_0391062990,30165380,10437
21622,Socolor CULT Direct ФИОЛЕТОВЫЙ 118 мл,socolor_cult_direct_fioletovyj_118_ml_0391068067,884486379856,10427
46607,DiaRichesse Крем-краска для волос щелочная 4 50 мл,diarichesse_krem_kraska_dlya_volos_shhelochnaya_4_50_ml_0391069783,3474630397798,10437
34928,Total Results A Curl Can Dream Маска 280мл,total_results_a_curl_can_dream_maska_280ml_9351060481,884486462480,10427
24086,"Tecni.Art Super Dust пудра для создания прикорневого объёма и средней фиксации, 7 г",tecni_art_super_dust_pudra_dlya_sozdaniya_prikornevogo_obema_i_srednej_fiksacii_7_g_0391062885,30162853,10437
24517,Total Result Unbreak My Blonde Кондиционер 300мл,total_result_unbreak_my_blonde_kondicioner_300ml_9351060098,3474636973668,10427
28179,Serie Expert Blondifier Cool Смываемый уход 200 мл,serie_expert_blondifier_cool_smyvaemyj_uхod_200_ml_0391069330,3474636977239,10437
21723,Serioxyl спрей черный 200 мл,serioxyl_sprej_chernyj_200_ml_0391069267,3474636645572,10437
37608,Набор Food for Soft Весна 2024,nabor_food_for_soft_vesna_2024_9351060657,4640193168741,10427
3371,Сыворотка Potentialiste 90мл,syvorotka_potentialiste_90ml_9341060046,3474636954704,10419
28679,Brews Work Hard Паста Туба 150мл,brews_work_hard_pasta_tuba_150ml_9391000184,884486459053,10435
29082,Style Link Volume Fixer Спрей для объёма и фиксации 400мл,style_link_volume_fixer_sprej_dlya_obema_i_fiksacii_400ml_0391068234,3474630650336,10427
19591,Молочко Ciment Anti-Usure 200мл,molochko_ciment_anti_usure_200ml_0391060711,3474636397884,10419
21515,Serie Expert Aminexil Advanced Ампулы 10*6мл,serie_expert_aminexil_advanced_ampuly_10_6ml_0391069288,3474636974344,10437
