id,name,code,barcode,producerid
16935,"Крем-проявитель ухаживающий для волос для осветляющих паст БЛОНД ГЛЭМ, волюм: 40 [12%] 1Л",krem_proyavitel_uхazhivayushhij_dlya_volos_dlya_osvetlyayushhiх_past_blond_glem_volyum_40_12_1l_0391000235,3474636334667,10435
34580,Inoa Краска для волос без аммиака 7.8 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_7_8_60_gr_0391069617,3474637131784,10437
33809,SoColor Sync Кислотный Тонер 6NGA 90 мл,socolor_sync_kislotnyj_toner_6nga_90_ml_9351060444,3474637109110,10427
24249,Majirel Крем-краска для волос 9.13 50мл,majirel_krem_kraska_dlya_volos_9_13_50ml_0391064863,3474634003022,10437
18528,Стойкий краситель Chromatics Ultra Rich 5GI ЗОЛОТЫЙ МЕРЦАЮЩИЙ 63мл,stojkij_krasitel_chromatics_ultra_rich_5gi_zolotyj_mercayushhij_63ml_0391000300,3474630734357,10435
19722,SoColor Pre-Bonded Крем-краска для волос 7N 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_7n_90ml_9351060081,3474636971879,10427
36029,Tonal Control Гелевый Тонер 5Nj 90 мл,tonal_control_gelevyj_toner_5nj_90_ml_9351060528,3474637138257,10427
25119,SoColor Pre-Bonded Крем-краска для волос 8C 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_8c_90ml_9351060167,3474636989409,10427
25967,Majirel High Lift Крем-краска для волос нейтральный 50мл,majirel_high_lift_krem_kraska_dlya_volos_nejtralnyj_50ml_0391064671,3474630691735,10437
21788,DiaRichesse Крем-краска для волос щелочная прозрачный 50 мл,diarichesse_krem_kraska_dlya_volos_shhelochnaya_prozrachnyj_50_ml_0391063551,3474630398290,10437
41716,Serie Expert Metal Detox Пре-Шампунь 250мл,serie_expert_metal_detox_pre_shampun_250ml_0391069779,3474637199708,10437
36048,Tonal Control Гелевый Тонер 8VG 90 мл,tonal_control_gelevyj_toner_8vg_90_ml_9351060537,3474637138196,10427
34702,Inoa Краска для волос без аммиака 6.46 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_6_46_60_gr_0391069630,3474637133481,10437
34700,Inoa Краска для волос без аммиака 9.11 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_9_11_60_gr_0391069628,3474637130589,10437
19325,Color Sync Крем-краска для волос Мокка 5MV 90 мл,color_sync_krem_kraska_dlya_volos_mokka_5mv_90_ml_9351060001,3474636905096,10427
3654,Стойкий краситель Chromatics с 4D эффектом 5.03/5NW НАТУРАЛЬНЫЙ ТЕПЛЫЙ 63мл,stojkij_krasitel_chromatics_s_4d_effektom_5_03_5nw_naturalnyj_teplyj_63ml_0391000400,3474630720169,10435
8818,Оксидент-крем 9% 1000 мл,oksident_krem_9_1000_ml_0391063101,3474630449329,10437
34536,Biolage Strength Recovery Кондиционер 1000 мл,biolage_strength_recovery_kondicioner_1000_ml_9351060476,3474637103552,12826
53728,"Super Sync Краситель для волос тон-в-тон без аммиака 10P, 90мл",super_sync_krasitel_dlya_volos_ton_v_ton_bez_ammiaka_10p_90ml_9351060769,3474637238339,10427
49025,Dia Color Краситель-блеск демиперманентный 6.45 60 мл,dia_color_krasitel_blesk_demipermanentnyj_6_45_60_ml_0391069811,3474637207892,10437
3966,L'Oreal Matrix Biolage Fiberstrong Кондиционер 200мл,l_oreal_matrix_biolage_fiberstrong_kondicioner_200ml_0391068719,3474630620223,12826
35081,Inoa Краска для волос без аммиака 7.44 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_7_44_60_gr_0391069687,3474637133245,10437
5358,Clean Maniac Pre Art Treatment 1Л,clean_maniac_pre_art_treatment_1l_0391001097,884486445445,10435
36896,Tonal Control Гелевый Тонер 6A 90 мл,tonal_control_gelevyj_toner_6a_90_ml_9351060595,3474637138066,10427
6093,DiaRichesse Крем-краска для волос щелочная 6.8 50 мл,diarichesse_krem_kraska_dlya_volos_shhelochnaya_6_8_50_ml_0391063500,3474630570344,10437
6513,Pro-Oxide 40 ВОЛ [12%] Крем -Проявитель 1л,pro_oxide_40_vol_12_krem_proyavitel_1l_0391000208,3474636623945,10435
8424,Лак для волос экстра сильной фиксации «Laque Noire/Лак Нуар» марки «Kerastase» 300мл,lak_dlya_volos_ekstra_silnoj_fiksacii_laque_noire_lak_nuar_marki_kerastase_300ml_0391061031,3474630645004,10419
34261,Serie Expert Aminexil Advanced Сыворотка против выпадения 90 мл,serie_expert_aminexil_advanced_syvorotka_protiv_vypadeniya_90_ml_0391069562,3474637106331,10437
10599,Dialight Гель-крем для окрашивания волос без аммиака 7.23 50мл,dialight_gel_krem_dlya_okrashivaniya_volos_bez_ammiaka_7_23_50ml_0391069409,3474637004958,10437
8967,SoColor Pre-Bonded Крем-краска для волос 4M 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_4m_90ml_9351060280,3474636991365,10427
10057,Majirel Крем-краска для волос 10.31 50мл,majirel_krem_kraska_dlya_volos_10_31_50ml_0391065404,3474634005200,10437
34437,Inoa Краска для волос без аммиака 8.34 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_8_34_60_gr_0391069583,3474637129446,10437
15291,Brews Помада CAMO POMADE 100 мл,brews_pomada_camo_pomade_100_ml_0391001432,884486401410,10435
35105,Inoa Краска для волос без аммиака 8.21 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_8_21_60_gr_0391069679,3474637129910,10437
11428,Dialight Гель-крем для окрашивания волос без аммиака 10.22 50мл,dialight_gel_krem_dlya_okrashivaniya_volos_bez_ammiaka_10_22_50ml_0391069461,3474637002954,10437
17437,Homme Cover 5 Тонирующий гель №5,homme_cover_5_toniruyushhij_gel_5_0391063657,3474634006481,10437
15938,Majirel Крем-краска для волос 10.21 50мл,majirel_krem_kraska_dlya_volos_10_21_50ml_0391064716,3474634002988,10437
16453,DiaRichesse Краска для волос щелочная без аммиака 10.12 50 мл,diarichesse_kraska_dlya_volos_shhelochnaya_bez_ammiaka_10_12_50_ml_0391063416,3474630549456,10437
35784,Socolor Sync Pre-Bonded Крем-краска для волос 5MV 90мл,socolor_sync_pre_bonded_krem_kraska_dlya_volos_5mv_90ml_9351060518,3474636999804,10427
22753,Tecni.art 19 Beach Waves Спрей 150 мл,tecni_art_19_beach_waves_sprej_150_ml_0391062880,30160293,10437
25210,Молочко Densite 1000мл,molochko_densite_1000ml_0391060526,3474636356058,10419
949,SoColor Sync Pre-Bonded Крем-краска для волос 9NA 90мл,socolor_sync_pre_bonded_krem_kraska_dlya_volos_9na_90ml_9351060088,3474636964017,10427
27975,SoColor Pre-Bonded Крем-краска для волос 4AA 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_4aa_90ml_9351060311,3474636990726,10427
36925,SoColor Sync Pre-Bonded Крем-краска для волос 4T 90 мл,socolor_sync_pre_bonded_krem_kraska_dlya_volos_4t_90_ml_9351060598,3474637156206,10427
23186,Majirel Крем-краска для волос 8.30 50мл,majirel_krem_kraska_dlya_volos_8_30_50ml_0391064842,3474634003749,10437
27013,SoColor Sync Pre-Bonded Крем-краска для волос 10M 90мл,socolor_sync_pre_bonded_krem_kraska_dlya_volos_10m_90ml_9351060161,3474636986132,10427
23246,SoColor Sync Pre-Bonded Крем-краска для волос 7NV 90мл,socolor_sync_pre_bonded_krem_kraska_dlya_volos_7nv_90ml_9351060089,3474636964048,10427
23446,Total Results Color Obsessed Шампунь 1л,total_results_color_obsessed_shampun_1l_0391068604,3474630740891,10427
23660,Inoa Краска для волос без аммиака 7.3 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_7_3_60_gr_0391064115,3474630415942,10437
34597,Serie Expert Absolut Repair Весна Набор,serie_expert_absolut_repair_vesna_nabor_0391069618,4640193084560,10437
49064,Dia Color Краситель-блеск демиперманентный 7 60 мл,dia_color_krasitel_blesk_demipermanentnyj_7_60_ml_0391069801,3474637206901,10437
28556,Light Master Обесцвечивающий порошок 500гр,light_master_obescvechivayushhij_poroshok_500gr_9351060239,3474637024567,10427
28831,Acidic Bonding Concentrate Концентрат Мойсчер 500 мл,acidic_bonding_concentrate_koncentrat_mojscher_500_ml_9391000033,884486464071,10435
20809,Dialight Гель-крем для окрашивания волос без аммиака 5.8 50мл,dialight_gel_krem_dlya_okrashivaniya_volos_bez_ammiaka_5_8_50ml_0391069427,3474637004569,10437
4793,Serie Expert Pro Longer Шампунь 1500 мл,serie_expert_pro_longer_shampun_1500_ml_0391069314,3474636975600,10437
4268,Inoa Краска для волос без аммиака 4.45 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_4_45_60_gr_0391064007,3474630413344,10437
5513,Inoa Краска для волос без аммиака 1 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_1_60_gr_0391063953,3474630412118,10437
34888,Inoa Краска для волос без аммиака 7.31 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_7_31_60_gr_0391069644,3474637128623,10437
9470,Light Master Bonder Inside Обесцвечивающий порошок 500гр,light_master_bonder_inside_obescvechivayushhij_poroshok_500gr_0391067054,3474636917501,10427
9698,SoColor Pre-Bonded Крем-краска для волос 4MA 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_4ma_90ml_9351060181,3474636991242,10427
34557,Inoa Краска для волос без аммиака 5.3 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_5_3_60_gr_0391069606,3474637129590,10437
14782,Dialight Гель-крем для окрашивания волос без аммиака 9 50мл,dialight_gel_krem_dlya_okrashivaniya_volos_bez_ammiaka_9_50ml_0391069482,3474637003951,10437
47529,Tonal Control Гелевый тонер 9G 90 мл,tonal_control_gelevyj_toner_9g_90_ml_9351060729,3474637218577,10427
15869,Краситель-блеск Shades EQ 08VG 60мл,krasitel_blesk_shades_eq_08vg_60ml_9391000024,3474636956432,10435
37597,Набор Keep Me Vivid Весна 2024,nabor_keep_me_vivid_vesna_2024_9351060660,4640193168772,10427
17025,Стойкий краситель Chromatics Beyond Cover 5.23/5LG ЗОЛОТИСТЫЙ МЕРЦАЮЩИЙ 63мл,stojkij_krasitel_chromatics_beyond_cover_5_23_5lg_zolotistyj_mercayushhij_63ml_0391000415,3474630727311,10435
13505,Mythic Oil Маска д/тонких волос 200мл,mythic_oil_maska_d_tonkiх_volos_200ml_0391066407,3474636391165,10437
31863,SoColor Pre-Bonded Крем-краска для волос 7RR+ 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_7rr_90ml_9351060379,3474636989645,10427
15217,SoColor Extra.Coverage Крем-краска для волос 508NA 90мл,socolor_extra_coverage_krem_kraska_dlya_volos_508na_90ml_9351060148,3474636978168,10427
